year_in_community,env_quality,val_fish_habitat,val_drinking_water,val_coastal_water,val_flood_protection,val_agriculture,val_outdoor_rec_summer,val_outdoor_rec_winter,val_fall_foliage,val_forest_climate_protection,val_forest_wood,val_forest_biodiversity,7a,7b,7c,7d,7e,7f,7g,7h,7i,7j,7k,7l,birth_year,gender,education,politics,race,adults_in_household,children_in_household,income
60,Good,Very Important,Very Important,Important,Very Important,Very Important,Very Important,Very Important,Very Important,Important,Very Important,Very Important,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,1954,Male,High School (includes GED),Moderate,White,0,0,"Less than $25,000 per year"
10,Good,Very Important,Very Important,Very Important,Important,Moderately Important,Slight Importance,Slight Importance,Slight Importance,Very Important,Slight Importance,Very Important,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Somewhat Agree,Somewhat Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Somewhat Disagree,1972,Female,4-year College Degree (Bachelor’s),Liberal,White,1,0,"Less than $25,000 per year"
33,Fair,Important,Very Important,Very Important,Important,Moderately Important,Important,Slight Importance,Moderately Important,Important,Moderately Important,Moderately Important,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Neither Disagree nor Agree,Somewhat Disagree,Somewhat Agree,Strongly Disagree,Strongly Agree,Somewhat Agree,Prefer not to answer,Male,4-year College Degree (Bachelor’s),Prefer Not to Answer,Prefer Not to Answer,1,0,Prefer Not to Answer
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Very Good,Important,Very Important,Very Important,Important,Very Important,Very Important,Important,Very Important,Important,Important,Important,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Prefer Not to Answer,Prefer Not to Answer,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,1949,Female,"Graduate or Professional Degree (Master’s, Ph.D., M.B.A., M.D., J.D., etc)",Slightly Conservative,White,2,0,"Less than $25,000 per year"
15,Very Good,Very Important,Very Important,Very Important,Unimportant,Important,Very Important,Unimportant,Very Important,Very Important,Very Important,Moderately Important,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Strongly Agree,Strongly Disagree,Somewhat Agree,Strongly Agree,1941,Male,"Graduate or Professional Degree (Master’s, Ph.D., M.B.A., M.D., J.D., etc)",Conservative,Hispanic,2,0,"More than $100,000 per year"
27,Good,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Neither Disagree nor Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,1961,Female,"Graduate or Professional Degree (Master’s, Ph.D., M.B.A., M.D., J.D., etc)",Moderate,White,3,,"$25,001 to $50,000 per year"
24,Very Good,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Important,Very Important,Very Important,Very Important,Very Important,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,1952,Male,High School (includes GED),Liberal,White,2,,"$75,001 to $100,000 per year"
1,Good,Moderately Important,Very Important,Very Important,Very Important,Very Important,Important,Important,Important,Very Important,Very Important,Very Important,Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Disagree,Strongly Agree,Somewhat Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,1945,Female,"Graduate or Professional Degree (Master’s, Ph.D., M.B.A., M.D., J.D., etc)",Extremely Liberal,White,3,3,Prefer Not to Answer
25,Good,Very Important,Very Important,Important,Important,Important,Important,Important,Important,Very Important,Very Important,Very Important,Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Disagree,Somewhat Agree,Neither Disagree nor Agree,Somewhat Disagree,Somewhat Agree,Strongly Disagree,Strongly Agree,Strongly Agree,1962,Female,4-year College Degree (Bachelor’s),Slightly Conservative,White,3,,"$50,001 to $75,000 per year"
10,Very Good,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Strongly Agree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Somewhat Disagree,Neither Disagree nor Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,1968,Female,Some College or Associate’s or Technical Degree,Prefer Not to Answer,White,2,,"$50,001 to $75,000 per year"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Good,Important,Very Important,Important,Important,Very Important,Very Important,Moderately Important,Important,Very Important,Important,Very Important,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Somewhat Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,1956,Female,4-year College Degree (Bachelor’s),Liberal,White,4,0,"$25,001 to $50,000 per year"
34,Good,Very Important,Very Important,Very Important,Very Important,Important,Important,Very Important,Moderately Important,Very Important,Important,Very Important,Somewhat Agree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Somewhat Disagree,Somewhat Agree,Strongly Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Strongly Agree,1952,Male,High School (includes GED),Moderate,White,3,0,"$75,001 to $100,000 per year"
5,Fair,Very Important,Very Important,Very Important,Very Important,Very Important,Moderately Important,Moderately Important,Moderately Important,Very Important,Moderately Important,Very Important,Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Strongly Agree,Somewhat Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,1954,Male,4-year College Degree (Bachelor’s),Liberal,White,1,0,"$25,001 to $50,000 per year"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Fair,Important,Important,Important,Important,Important,Moderately Important,Moderately Important,Moderately Important,Important,Important,Important,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neither Disagree nor Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,1961,Female,Some College or Associate’s or Technical Degree,Moderate,White,1,0,"Less than $25,000 per year"
2,Poor,Very Important,Very Important,Very Important,Very Important,Very Important,Moderately Important,Unimportant,Unimportant,Very Important,Unimportant,Very Important,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,1973,Male,High School (includes GED),Moderate,White,2,2,"$50,001 to $75,000 per year"
7,Good,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Important,Very Important,Important,Very Important,Important,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,1957,Male,4-year College Degree (Bachelor’s),Moderate,White,2,0,"More than $100,000 per year"
15,Fair,Very Important,Very Important,Important,Important,Very Important,Moderately Important,Moderately Important,Slight Importance,Very Important,Important,Very Important,Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Somewhat Agree,Somewhat Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,1975,Female,Prefer Not to Answer,Moderate,White,2,2,"More than $100,000 per year"
25,Good,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Neither Disagree nor Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,1949,Female,"Graduate or Professional Degree (Master’s, Ph.D., M.B.A., M.D., J.D., etc)",Moderate,White,2,0,Prefer Not to Answer
75,Good,Important,Very Important,Important,Very Important,Important,Important,Moderately Important,Moderately Important,Very Important,Important,Important,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Neither Disagree nor Agree,Prefer Not to Answer,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,1940,Male,High School (includes GED),Slightly Conservative,White,2,0,"Less than $25,000 per year"
22,Very Good,Important,Very Important,Important,Important,Important,Important,Moderately Important,Moderately Important,Very Important,Important,Very Important,Strongly Agree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Somewhat Disagree,Strongly Agree,Somewhat Disagree,Strongly Agree,Strongly Agree,1993,Male,4-year College Degree (Bachelor’s),Liberal,White,3,0,"$50,001 to $75,000 per year"
13,Very Good,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Important,Important,Very Important,Very Important,Important,Strongly Agree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Somewhat Agree,Somewhat Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,1939,Male,4-year College Degree (Bachelor’s),Conservative,White,2,0,"$75,001 to $100,000 per year"
30,Good,Moderately Important,Very Important,Important,Slight Importance,Important,Important,Important,Moderately Important,Very Important,Moderately Important,Important,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neither Disagree nor Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Somewhat Agree,Strongly Agree,1930,Male,"Graduate or Professional Degree (Master’s, Ph.D., M.B.A., M.D., J.D., etc)",Slightly Conservative,White,4,0,"$50,001 to $75,000 per year"
15,Very Good,Very Important,Very Important,Very Important,Moderately Important,Very Important,Very Important,Important,Slight Importance,Very Important,Moderately Important,Very Important,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Neither Disagree nor Agree,Somewhat Agree,Strongly Disagree,Strongly Agree,Strongly Agree,1957,Female,Some College or Associate’s or Technical Degree,Liberal,White,3,1,"$50,001 to $75,000 per year"
18,Good,Very Important,Very Important,Very Important,Very Important,Very Important,Moderately Important,Moderately Important,Very Important,Very Important,Important,Very Important,Strongly Agree,Somewhat Disagree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Somewhat Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,1959,Female,"Graduate or Professional Degree (Master’s, Ph.D., M.B.A., M.D., J.D., etc)",Slightly Liberal,White,2,0,"$50,001 to $75,000 per year"
23,Fair,Very Important,Important,Very Important,Very Important,Very Important,Very Important,Moderately Important,Important,Very Important,Very Important,Important,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Somewhat Disagree,Strongly Disagree,Strongly Agree,Somewhat Disagree,Somewhat Agree,Strongly Agree,1940,Male,4-year College Degree (Bachelor’s),Slightly Conservative,White,4,1,"$75,001 to $100,000 per year"
30,Good,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Moderately Important,Very Important,Very Important,Very Important,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Somewhat Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,1955,Female,"Graduate or Professional Degree (Master’s, Ph.D., M.B.A., M.D., J.D., etc)",Moderate,White,3,1,"More than $100,000 per year"
30,Good,Very Important,Very Important,Very Important,Very Important,Very Important,Important,Moderately Important,Important,Very Important,Important,Very Important,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Neither Disagree nor Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,1956,Female,"Graduate or Professional Degree (Master’s, Ph.D., M.B.A., M.D., J.D., etc)",Extremely Liberal,White,2,0,"$75,001 to $100,000 per year"
16,Good,Very Important,Very Important,Very Important,Unimportant,Moderately Important,Very Important,Very Important,Very Important,Important,Important,Very Important,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Somewhat Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,1966,Male,"Graduate or Professional Degree (Master’s, Ph.D., M.B.A., M.D., J.D., etc)",Liberal,White,2,1,"More than $100,000 per year"
12,Good,Important,Very Important,Very Important,Important,Important,Very Important,Moderately Important,Moderately Important,Very Important,Important,Important,Neither Disagree nor Agree,Strongly Disagree,Somewhat Disagree,Strongly Disagree,Somewhat Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,Somewhat Disagree,Somewhat Disagree,Strongly Disagree,Somewhat Disagree,Neither Disagree nor Agree,1951,Female,"Graduate or Professional Degree (Master’s, Ph.D., M.B.A., M.D., J.D., etc)",Moderate,White,2,0,Prefer Not to Answer
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Good,Important,Very Important,Very Important,Important,Very Important,Important,Important,Important,Very Important,Moderately Important,Very Important,Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Disagree,Strongly Agree,Neither Disagree nor Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,1946,Female,Some College or Associate’s or Technical Degree,Liberal,White,2,,"$50,001 to $75,000 per year"
40,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Good,Important,Very Important,Important,Important,Very Important,Important,Important,Important,Unimportant,Important,Important,Strongly Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Neither Disagree nor Agree,Prefer Not to Answer,Prefer Not to Answer,Somewhat Agree,Prefer Not to Answer,Somewhat Disagree,Strongly Agree,Somewhat Agree,1957,Male,Some College or Associate’s or Technical Degree,Prefer Not to Answer,Prefer Not to Answer,3,0,"$50,001 to $75,000 per year"
20,Very Good,Very Important,Very Important,Very Important,Moderately Important,Very Important,Important,Important,Important,Very Important,Very Important,Very Important,Neither Disagree nor Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Somewhat Agree,1953,Male,4-year College Degree (Bachelor’s),Extremely Liberal,White,2,0,"$50,001 to $75,000 per year"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Good,Very Important,Very Important,Important,Important,Important,Very Important,Very Important,Very Important,Important,Moderately Important,Very Important,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,1944,Male,"Graduate or Professional Degree (Master’s, Ph.D., M.B.A., M.D., J.D., etc)",Liberal,White,2,0,"$50,001 to $75,000 per year"
28,Good,Very Important,Very Important,Very Important,Very Important,Very Important,Moderately Important,Moderately Important,Moderately Important,Very Important,Important,Very Important,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,1958,Female,"Graduate or Professional Degree (Master’s, Ph.D., M.B.A., M.D., J.D., etc)",Conservative,White,2,1,Prefer Not to Answer
4,Fair,Important,Very Important,Very Important,Very Important,Very Important,Important,Important,Moderately Important,Very Important,Moderately Important,Important,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Prefer Not to Answer,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,1964,Female,"Graduate or Professional Degree (Master’s, Ph.D., M.B.A., M.D., J.D., etc)",Prefer Not to Answer,Hispanic,2,0,Prefer Not to Answer
3,Very Good,Very Important,Very Important,Very Important,Very Important,Very Important,Important,Important,Important,Very Important,Important,Very Important,Somewhat Agree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Neither Disagree nor Agree,Somewhat Agree,Neither Disagree nor Agree,Strongly Disagree,Somewhat Agree,Strongly Disagree,Strongly Agree,Strongly Agree,1950,Female,"Graduate or Professional Degree (Master’s, Ph.D., M.B.A., M.D., J.D., etc)",Extremely Liberal,White,0,0,Prefer Not to Answer
33,Very Good,Important,Very Important,Very Important,Very Important,Important,Very Important,Important,Moderately Important,Very Important,Important,Important,Somewhat Agree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Prefer Not to Answer,Prefer Not to Answer,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,1952,Female,"Graduate or Professional Degree (Master’s, Ph.D., M.B.A., M.D., J.D., etc)",Moderate,White,1,0,"$25,001 to $50,000 per year"
28,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Good,Very Important,Very Important,Important,Very Important,Important,Important,Important,Important,Very Important,Important,Important,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neither Disagree nor Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Somewhat Agree,Strongly Agree,1951,Female,"Graduate or Professional Degree (Master’s, Ph.D., M.B.A., M.D., J.D., etc)",Liberal,White,2,0,Prefer Not to Answer
40,Very Good,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Moderately Important,Slight Importance,Very Important,Important,Very Important,Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Disagree,Strongly Agree,Somewhat Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Somewhat Disagree,Strongly Agree,1946,Male,"Graduate or Professional Degree (Master’s, Ph.D., M.B.A., M.D., J.D., etc)",Liberal,White,1,0,"More than $100,000 per year"
36,Good,Important,Very Important,Very Important,Very Important,Very Important,Important,Very Important,Important,Important,Important,Important,Strongly Agree,Strongly Disagree,Somewhat Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Somewhat Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,1945,Female,"Graduate or Professional Degree (Master’s, Ph.D., M.B.A., M.D., J.D., etc)",Liberal,White,3,,Prefer Not to Answer
7,Good,Important,Very Important,Moderately Important,Important,Important,Important,Important,Important,Important,Important,Important,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Strongly Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Neither Disagree nor Agree,Somewhat Agree,Strongly Disagree,Somewhat Agree,Strongly Agree,1962,Female,Some College or Associate’s or Technical Degree,Conservative,White,1,1,"$25,001 to $50,000 per year"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Fair,Important,Very Important,Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Important,Prefer Not to Answer,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Prefer Not to Answer,Strongly Disagree,Prefer Not to Answer,Strongly Disagree,Strongly Agree,Prefer Not to Answer,1975,Female,Some College or Associate’s or Technical Degree,Conservative,White,3,0,"$50,001 to $75,000 per year"
25,Very Good,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Important,Very Important,Neither Disagree nor Agree,Somewhat Disagree,Strongly Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,1962,Female,Some College or Associate’s or Technical Degree,Liberal,White,2,,"More than $100,000 per year"
15,Very Good,Very Important,Very Important,Very Important,Very Important,Very Important,Important,Important,Moderately Important,Very Important,Moderately Important,Important,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Somewhat Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,1978,Female,4-year College Degree (Bachelor’s),Liberal,White,4,2,Prefer Not to Answer
13,Very Good,Very Important,Very Important,Very Important,Important,Important,Very Important,Moderately Important,Very Important,Very Important,Moderately Important,Important,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,1968,Female,Some College or Associate’s or Technical Degree,Moderate,White,1,1,"$25,001 to $50,000 per year"
25,Fair,Very Important,Very Important,Very Important,Moderately Important,Very Important,Moderately Important,Moderately Important,Very Important,Very Important,Unimportant,Very Important,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Somewhat Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,1951,Female,Some College or Associate’s or Technical Degree,Extremely Liberal,White,1,0,"Less than $25,000 per year"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Fair,Very Important,Very Important,Very Important,Important,Important,Important,Moderately Important,Important,Very Important,Slight Importance,Very Important,Strongly Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Strongly Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,1985,Female,"Graduate or Professional Degree (Master’s, Ph.D., M.B.A., M.D., J.D., etc)",Moderate,White,3,0,"More than $100,000 per year"
20,Poor,Important,Very Important,Very Important,Moderately Important,Important,Very Important,Very Important,Unimportant,Very Important,Moderately Important,Important,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Somewhat Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,1967,Male,Some College or Associate’s or Technical Degree,Slightly Conservative,White,1,2,"$50,001 to $75,000 per year"
1,Good,Important,Very Important,Very Important,Very Important,Very Important,Very Important,Important,Slight Importance,Very Important,Important,Important,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Disagree,Strongly Agree,Somewhat Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,1952,Female,4-year College Degree (Bachelor’s),Liberal,White,2,0,"$50,001 to $75,000 per year"
11,Very Good,Important,Very Important,Moderately Important,Slight Importance,Very Important,Important,Important,Slight Importance,Important,Moderately Important,Moderately Important,Strongly Agree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,Somewhat Disagree,Strongly Agree,Strongly Disagree,Neither Disagree nor Agree,Strongly Agree,1960,Male,"Graduate or Professional Degree (Master’s, Ph.D., M.B.A., M.D., J.D., etc)",Moderate,White,2,3,"More than $100,000 per year"
3,Good,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Important,Important,Important,Very Important,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Strongly Disagree,Somewhat Agree,Strongly Disagree,Neither Disagree nor Agree,Somewhat Agree,1983,Female,Some College or Associate’s or Technical Degree,Moderate,White,2,1,"$25,001 to $50,000 per year"
8,Good,Important,Very Important,Very Important,Important,Very Important,Very Important,Very Important,Important,Very Important,Important,Very Important,Strongly Agree,Somewhat Disagree,Somewhat Disagree,Strongly Agree,Somewhat Disagree,Strongly Agree,Strongly Agree,Somewhat Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,1975,Male,"Graduate or Professional Degree (Master’s, Ph.D., M.B.A., M.D., J.D., etc)",Liberal,White,4,2,"More than $100,000 per year"
9,Very Good,Important,Very Important,Very Important,Very Important,Important,Very Important,Moderately Important,Important,Important,Important,Important,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neither Disagree nor Agree,Somewhat Agree,Somewhat Disagree,Strongly Agree,Somewhat Disagree,Strongly Agree,Strongly Agree,1960,Male,Some College or Associate’s or Technical Degree,Moderate,White,1,0,"$50,001 to $75,000 per year"
20,Fair,Very Important,Very Important,Very Important,Very Important,Very Important,Important,Important,Important,Very Important,Important,Very Important,Strongly Agree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Prefer Not to Answer,Strongly Agree,Neither Disagree nor Agree,Somewhat Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,1927,Female,"Graduate or Professional Degree (Master’s, Ph.D., M.B.A., M.D., J.D., etc)",Prefer Not to Answer,Prefer Not to Answer,0,0,Prefer Not to Answer
6,Fair,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,1961,Male,"Graduate or Professional Degree (Master’s, Ph.D., M.B.A., M.D., J.D., etc)",Moderate,White,2,0,"Less than $25,000 per year"
64,Good,Important,Very Important,Very Important,Important,Very Important,Very Important,Very Important,Moderately Important,Very Important,Very Important,Important,Strongly Agree,Neither Disagree nor Agree,Somewhat Disagree,Strongly Agree,Somewhat Disagree,Strongly Disagree,Neither Disagree nor Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Somewhat Agree,Strongly Agree,1950,Male,Some College or Associate’s or Technical Degree,Prefer Not to Answer,White,2,0,"$50,001 to $75,000 per year"
1,Good,Important,Very Important,Very Important,Important,Very Important,Very Important,Very Important,Very Important,Very Important,Important,Very Important,Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Somewhat Agree,Somewhat Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,1960,Female,"Graduate or Professional Degree (Master’s, Ph.D., M.B.A., M.D., J.D., etc)",Extremely Liberal,White,4,0,Prefer Not to Answer
30,Good,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Moderately Important,Very Important,Important,Very Important,Strongly Agree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Somewhat Disagree,Somewhat Agree,Neither Disagree nor Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Prefer Not to Answer,1956,Female,4-year College Degree (Bachelor’s),Moderate,White,3,0,"$25,001 to $50,000 per year"
11,Good,Very Important,Very Important,Very Important,Important,Important,Important,Moderately Important,Important,Very Important,Important,Very Important,Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,1951,Female,"Graduate or Professional Degree (Master’s, Ph.D., M.B.A., M.D., J.D., etc)",Liberal,White,2,0,"$25,001 to $50,000 per year"
